epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4201,2.6926,6.24879,3.94547,0.003,1,0.24353,0.09694,1.89424,3.84118,3.56062,0.0991,0.0001,0.0001
2,20.6929,1.87204,3.98689,3.00345,0.00313,1,0.30932,0.10833,2.47273,3.95625,3.394,0.0972999,0.000299927,0.000299927
3,29.4603,1.16454,2.63036,2.10826,0.00391,1,0.34317,0.18029,1.54704,3.2718,2.97564,0.0954995,0.000499512,0.000499512
4,37.9522,1.26025,2.58809,1.90174,0.73265,0.33333,0.37749,0.23291,1.52117,2.83212,4.80482,0.0936985,0.000698462,0.000698462
