epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.468,2.17385,4.13137,3.09816,0.00211,0.66667,0.22723,0.06529,2.07968,4.31043,4.26107,0.09802,2e-05,2e-05
2,26.2834,1.7727,2.82048,2.13643,0.00283,1,0.27707,0.11784,2.21586,4.37599,4.24836,0.09505,4.99878e-05,4.99878e-05
3,41.3513,1.29036,2.65121,2.09432,0.00288,1,0.23947,0.09891,2.1579,4.73919,3.89651,0.0920799,7.99219e-05,7.99219e-05
1,18.9399,2.74552,5.41362,3.58868,0.00071,0.33333,0.01847,0.00588,1.71811,4.89197,3.49597,0.09703,3e-05,3e-05
2,42.1832,1.95285,3.60669,2.86706,0.00209,0.66667,0.26232,0.08536,2.58562,4.24995,5.67648,0.09307,6.99829e-05,6.99829e-05
